[Sun May 20 09:15:01.009930 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP Error:  Class 'favicon.ico' not found in /var/www/black.loc/public_html/route.php on line 43, referer: http://black.loc/
[Sun May 20 09:15:01.009997 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP Stack trace:, referer: http://black.loc/
[Sun May 20 09:15:01.010017 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP   1. {main}() /var/www/black.loc/public_html/index.php:0, referer: http://black.loc/
[Sun May 20 09:15:01.010032 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP   2. Route::start() /var/www/black.loc/public_html/index.php:9, referer: http://black.loc/
[Sun May 20 09:15:01.010107 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP Fatal error:  Uncaught Error: Class 'favicon.ico' not found in /var/www/black.loc/public_html/route.php:43\nStack trace:\n#0 /var/www/black.loc/public_html/index.php(9): Route::start()\n#1 {main}\n  thrown in /var/www/black.loc/public_html/route.php on line 43, referer: http://black.loc/
[Sun May 20 09:15:01.021578 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP Error:  Class '404' not found in /var/www/black.loc/public_html/route.php on line 43, referer: http://black.loc/
[Sun May 20 09:15:01.021615 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP Stack trace:, referer: http://black.loc/
[Sun May 20 09:15:01.021633 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP   1. {main}() /var/www/black.loc/public_html/index.php:0, referer: http://black.loc/
[Sun May 20 09:15:01.021646 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP   2. Route::start() /var/www/black.loc/public_html/index.php:9, referer: http://black.loc/
[Sun May 20 09:15:01.021711 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP Fatal error:  Uncaught Error: Class '404' not found in /var/www/black.loc/public_html/route.php:43\nStack trace:\n#0 /var/www/black.loc/public_html/index.php(9): Route::start()\n#1 {main}\n  thrown in /var/www/black.loc/public_html/route.php on line 43, referer: http://black.loc/
[Sun May 20 09:15:01.026545 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP Error:  Class '404' not found in /var/www/black.loc/public_html/route.php on line 43, referer: http://black.loc/
[Sun May 20 09:15:01.026629 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP Stack trace:, referer: http://black.loc/
[Sun May 20 09:15:01.026651 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP   1. {main}() /var/www/black.loc/public_html/index.php:0, referer: http://black.loc/
[Sun May 20 09:15:01.026664 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP   2. Route::start() /var/www/black.loc/public_html/index.php:9, referer: http://black.loc/
[Sun May 20 09:15:01.026745 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP Fatal error:  Uncaught Error: Class '404' not found in /var/www/black.loc/public_html/route.php:43\nStack trace:\n#0 /var/www/black.loc/public_html/index.php(9): Route::start()\n#1 {main}\n  thrown in /var/www/black.loc/public_html/route.php on line 43, referer: http://black.loc/
[Sun May 20 09:15:01.030087 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP Error:  Class '404' not found in /var/www/black.loc/public_html/route.php on line 43, referer: http://black.loc/
[Sun May 20 09:15:01.030112 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP Stack trace:, referer: http://black.loc/
[Sun May 20 09:15:01.030124 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP   1. {main}() /var/www/black.loc/public_html/index.php:0, referer: http://black.loc/
[Sun May 20 09:15:01.030133 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP   2. Route::start() /var/www/black.loc/public_html/index.php:9, referer: http://black.loc/
[Sun May 20 09:15:01.030189 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP Fatal error:  Uncaught Error: Class '404' not found in /var/www/black.loc/public_html/route.php:43\nStack trace:\n#0 /var/www/black.loc/public_html/index.php(9): Route::start()\n#1 {main}\n  thrown in /var/www/black.loc/public_html/route.php on line 43, referer: http://black.loc/
[Sun May 20 09:15:01.032776 2018] [:error] [pid 4527] [client 127.0.0.1:45258] PHP Error:  Class '404' not found in /var/www/black.loc/public_html/route.php on line 43, referer: http://black.loc/
